StoreName,BankName,BankNum,Account,Transit,Institution,StoreId,MerchantId,BD,MCC,MerchantOrderNo,PayOrderId,PayType,ChannelId,Currency,Amount,Tip,Rate%,Fee,Status,CreateDate,SettleDate,Remark
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650953431883,WN20220426061032907803947955,pay,WX_NATIVE,CAD,72.91,9.51,0.8,0.58,2,2022-04-25 23:10:32,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650948844549,WM20220426045405300841984045,pay,WX_MICROPAY,CAD,83.03,10.83,0.8,0.66,2,2022-04-25 21:54:05,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650948757251,WN20220426045238009654951000,pay,WX_NATIVE,CAD,144.84,18.89,0.8,1.16,2,2022-04-25 21:52:38,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650947620663,WM20220426043341162213267806,pay,WX_MICROPAY,CAD,166.52,21.72,0.8,1.33,2,2022-04-25 21:33:41,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650946949341,WM20220426042230546776792134,pay,WX_MICROPAY,CAD,88.20,11.50,0.8,0.71,2,2022-04-25 21:22:30,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650946904400,WM20220426042146195015380468,pay,WX_MICROPAY,CAD,88.20,11.50,0.8,0.71,2,2022-04-25 21:21:46,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650944002566,WM20220426033325106327332805,pay,WX_MICROPAY,CAD,115.23,15.03,0.8,0.92,2,2022-04-25 20:33:25,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650942648032,WN20220426031049475644243764,pay,WX_NATIVE,CAD,65.78,8.58,0.8,0.53,2,2022-04-25 20:10:49,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650939645929,AM20220426022046723124275427,pay,ALIPAY_MICROPAY,CAD,214.64,27.99,0.8,1.72,2,2022-04-25 19:20:46,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650938981772,WM20220426020943020826915976,pay,WX_MICROPAY,CAD,409.22,53.37,0.8,3.27,2,2022-04-25 19:09:43,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650938414495,WM20220426020015665642304460,pay,WX_MICROPAY,CAD,47.66,4.33,0.8,0.38,2,2022-04-25 19:00:15,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650938384681,WM20220426015945476900769668,pay,WX_MICROPAY,CAD,138.11,18.01,0.8,1.10,2,2022-04-25 18:59:45,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650937579750,WN20220426014621767283080268,pay,WX_NATIVE,CAD,147.08,22.43,0.8,1.18,2,2022-04-25 18:46:21,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650936435860,WN20220426012717001255158685,pay,WX_NATIVE,CAD,160.54,20.94,0.8,1.28,2,2022-04-25 18:27:17,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650935757713,WM20220426011558998856673863,pay,WX_MICROPAY,CAD,199.18,25.98,0.8,1.59,2,2022-04-25 18:15:58,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650933489585,AM20220426003811639432082444,pay,ALIPAY_MICROPAY,CAD,102.92,13.42,0.8,0.82,2,2022-04-25 17:38:11,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650926469899,WN20220425224111963126883629,pay,WX_NATIVE,CAD,57.61,7.51,0.8,0.46,2,2022-04-25 15:41:11,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650920136834,WM20220425205538004976674094,pay,WX_MICROPAY,CAD,234.25,30.55,0.8,1.87,2,2022-04-25 13:55:38,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650917809325,WM20220425201650830857491970,pay,WX_MICROPAY,CAD,109.25,14.25,0.8,0.87,2,2022-04-25 13:16:50,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650915134254,WM20220425193214782787484518,pay,WX_MICROPAY,CAD,46.80,6.10,0.8,0.37,2,2022-04-25 12:32:14,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650913291858,WN20220425190133326754166159,pay,WX_NATIVE,CAD,63.15,2.00,0.8,0.51,2,2022-04-25 12:01:33,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650876203255,WM20220425084326546885239612,pay,WX_MICROPAY,CAD,20.00,0.00,0.8,0.16,2,2022-04-25 01:43:26,2022-04-26 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1650872344721,WM20220425073905806751141225,pay,WX_MICROPAY,CAD,58.45,0.00,0.8,0.47,2,2022-04-25 00:39:05,2022-04-26 08:00:00,"",
